date,prcp_mm
2023-06-02,0.0
2023-06-03,4.698999999999999
2023-06-04,0.0
2023-06-05,0.0
2023-06-06,0.0
2023-06-07,8.001000000000001
2023-06-08,0.8128
2023-06-09,2.2859999999999996
2023-06-10,40.1828
2023-06-11,7.874
2023-06-12,0.0
2023-06-13,0.0
2023-06-14,0.0
2023-06-15,4.064
2023-06-16,2.3621999999999996
2023-06-17,16.0274
2023-06-18,8.6868
2023-06-19,0.0
2023-06-20,12.115799999999998
2023-06-21,2.8956
2023-06-22,30.810199999999995
2023-06-23,0.1016
2023-06-24,3.302
2023-06-25,11.048999999999998
2023-06-26,0.0
2023-06-27,0.0
2023-06-28,5.6134
2023-06-29,28.955999999999996
2023-06-30,0.0
2023-07-01,0.0
2023-07-02,0.0
2023-07-03,0.0
2023-07-04,14.985999999999999
2023-07-05,0.3302
2023-07-06,0.0
2023-07-07,11.531600000000001
2023-07-08,0.6095999999999999
2023-07-09,0.0
2023-07-10,7.1373999999999995
2023-07-11,0.5842
2023-07-12,0.07619999999999999
2023-07-13,0.0
2023-07-14,4.6228
2023-07-15,1.6001999999999998
2023-07-16,28.7782
2023-07-17,2.794
2023-07-18,36.576
2023-07-19,0.5588
2023-07-20,0.0
2023-07-21,0.0508
2023-07-22,0.0254
2023-07-23,0.5588
2023-07-24,0.0254
2023-07-25,0.0254
2023-07-26,0.8382000000000001
2023-07-27,1.0413999999999999
2023-07-28,0.0
2023-07-29,0.0508
2023-07-30,16.509999999999998
2023-07-31,44.2468
2023-08-01,0.0254
2023-08-02,0.0
2023-08-03,0.0254
2023-08-04,0.0254
2023-08-05,0.0
2023-08-06,18.8214
2023-08-07,0.0
2023-08-08,0.0
2023-08-09,0.0
2023-08-10,1.5747999999999998
2023-08-11,0.0
2023-08-12,0.0
2023-08-13,0.0
2023-08-14,0.0
2023-08-15,25.653999999999996
2023-08-16,10.1854
2023-08-17,41.42739999999999
2023-08-18,0.0508
2023-08-19,0.0508
