year,month,monthly_total_mm,n_days_reported,days_in_month,complete,season,date
1998,9,195.5,30,30,True,wet,1998-09-01
1998,10,20.1,31,31,True,dry,1998-10-01
1998,11,60.699999999999996,30,30,True,dry,1998-11-01
1998,12,22.099999999999998,31,31,True,dry,1998-12-01
1999,1,69.1,31,31,True,dry,1999-01-01
1999,2,50.8,28,28,True,dry,1999-02-01
1999,4,59.50000000000001,30,30,True,dry,1999-04-01
1999,5,212.7,31,31,True,dry,1999-05-01
1999,6,210.7,29,30,True,wet,1999-06-01
1999,7,56.3,31,31,True,wet,1999-07-01
1999,8,280.7,31,31,True,wet,1999-08-01
1999,9,140.1,30,30,True,wet,1999-09-01
1999,10,141.70000000000002,31,31,True,dry,1999-10-01
1999,11,62.5,30,30,True,dry,1999-11-01
1999,12,21.6,31,31,True,dry,1999-12-01
2000,1,45.6,31,31,True,dry,2000-01-01
2000,2,22.9,29,29,True,dry,2000-02-01
2000,3,13.5,31,31,True,dry,2000-03-01
2000,4,28.3,30,30,True,dry,2000-04-01
2000,5,53.3,31,31,True,dry,2000-05-01
2000,6,177.79999999999998,30,30,True,wet,2000-06-01
2000,7,234.79999999999998,31,31,True,wet,2000-07-01
2000,8,167.9,31,31,True,wet,2000-08-01
2000,9,150.3,30,30,True,wet,2000-09-01
2000,10,30.6,31,31,True,dry,2000-10-01
2000,11,22.400000000000002,30,30,True,dry,2000-11-01
2000,12,22.400000000000002,30,31,True,dry,2000-12-01
2001,1,8.9,31,31,True,dry,2001-01-01
2001,2,1.7000000000000002,27,28,True,dry,2001-02-01
2001,3,96.7,30,31,True,dry,2001-03-01
2001,4,37.3,30,30,True,dry,2001-04-01
2001,5,75.6,31,31,True,dry,2001-05-01
2001,6,103.2,30,30,True,wet,2001-06-01
2001,7,133.4,30,31,True,wet,2001-07-01
2001,8,231.3,31,31,True,wet,2001-08-01
2001,9,363.4,30,30,True,wet,2001-09-01
2001,10,36.4,31,31,True,dry,2001-10-01
2001,11,17.3,30,30,True,dry,2001-11-01
2001,12,12.8,29,31,True,dry,2001-12-01
2002,1,28.9,31,31,True,dry,2002-01-01
2002,2,99.69999999999999,28,28,True,dry,2002-02-01
2002,3,40.7,31,31,True,dry,2002-03-01
2002,4,19.099999999999998,30,30,True,dry,2002-04-01
2002,5,137.5,30,31,True,dry,2002-05-01
