sorting_id,contact,site_name,country,state_region,latitude,longitude,sampling_date,protocol,lfmc_value,species_collected,species_functional_type,landcover,elevation,random_split,spatial_split
54793,Jolly,Abbot Bridge,USA,Idaho,43.60555556,-115.2227778,2017-06-08,23,93.0,Pseudotsuga menziesii,Tree,Tree cover,1426,train,validation
54794,Jolly,Abbot Bridge,USA,Idaho,43.60555556,-115.2227778,2017-06-27,23,224.0,Artemisia tripartita,Shrub,Tree cover,1426,validation,validation
54795,Jolly,Abbot Bridge,USA,Idaho,43.60555556,-115.2227778,2017-06-27,23,112.0,Carex geyeri,Grass,Tree cover,1426,train,validation
54796,Jolly,Abbot Bridge,USA,Idaho,43.60555556,-115.2227778,2017-06-27,23,112.0,Pinus ponderosa,Tree,Tree cover,1426,train,validation
54797,Jolly,Abbot Bridge,USA,Idaho,43.60555556,-115.2227778,2017-06-27,23,106.0,Pseudotsuga menziesii,Tree,Tree cover,1426,test,validation
54798,Jolly,Abbot Bridge,USA,Idaho,43.60555556,-115.2227778,2017-07-20,23,105.0,Artemisia tripartita,Shrub,Tree cover,1426,validation,validation
54799,Jolly,Abbot Bridge,USA,Idaho,43.60555556,-115.2227778,2017-07-20,23,89.0,Carex geyeri,Grass,Tree cover,1426,train,validation
54800,Jolly,Abbot Bridge,USA,Idaho,43.60555556,-115.2227778,2017-07-20,23,105.0,Pinus ponderosa,Tree,Tree cover,1426,train,validation
54801,Jolly,Abbot Bridge,USA,Idaho,43.60555556,-115.2227778,2017-07-20,23,127.0,Pseudotsuga menziesii,Tree,Tree cover,1426,train,validation
54802,Jolly,Abbot Bridge,USA,Idaho,43.60555556,-115.2227778,2017-08-04,23,97.0,Artemisia tripartita,Shrub,Tree cover,1426,train,validation
54803,Jolly,Abbot Bridge,USA,Idaho,43.60555556,-115.2227778,2017-08-04,23,81.0,Carex geyeri,Grass,Tree cover,1426,train,validation
54804,Jolly,Abbot Bridge,USA,Idaho,43.60555556,-115.2227778,2017-08-04,23,136.0,Pinus ponderosa,Tree,Tree cover,1426,train,validation
54805,Jolly,Abbot Bridge,USA,Idaho,43.60555556,-115.2227778,2017-08-04,23,125.0,Pseudotsuga menziesii,Tree,Tree cover,1426,validation,validation
54806,Jolly,Abbot Bridge,USA,Idaho,43.60555556,-115.2227778,2017-09-07,23,75.0,Artemisia tripartita,Shrub,Tree cover,1426,train,validation
54807,Jolly,Abbot Bridge,USA,Idaho,43.60555556,-115.2227778,2017-09-07,23,69.0,Carex geyeri,Grass,Tree cover,1426,train,validation
54808,Jolly,Abbot Bridge,USA,Idaho,43.60555556,-115.2227778,2017-09-07,23,150.0,Pinus ponderosa,Tree,Tree cover,1426,train,validation
54809,Jolly,Abbot Bridge,USA,Idaho,43.60555556,-115.2227778,2017-09-07,23,121.0,Pseudotsuga menziesii,Tree,Tree cover,1426,train,validation
54810,Jolly,Abbot Bridge,USA,Idaho,43.60555556,-115.2227778,2017-09-26,23,85.0,Artemisia tripartita,Shrub,Tree cover,1426,train,validation
54811,Jolly,Abbot Bridge,USA,Idaho,43.60555556,-115.2227778,2017-09-26,23,94.0,Carex geyeri,Grass,Tree cover,1426,train,validation
54812,Jolly,Abbot Bridge,USA,Idaho,43.60555556,-115.2227778,2017-09-26,23,131.0,Pinus ponderosa,Tree,Tree cover,1426,train,validation
54813,Jolly,Abbot Bridge,USA,Idaho,43.60555556,-115.2227778,2017-09-26,23,122.0,Pseudotsuga menziesii,Tree,Tree cover,1426,validation,validation
